,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
6281,Return of the Duelist,REDU-EN032,Common,Little Trooper,Monster,EARTH,900,500,1.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6282,Elemental Energy,EEN-EN049,Rare,Hero Barrier,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
6283,Breakers of Shadow,BOSH-EN017,Rare,"Twilight Ninja Getsuga, the Shogun",Monster,DARK,2000,3000,8.0,None,nan,Warrior , Effect,None,None,Summoning condition, Ignition, Condition,,,,,,,, Unlimited 
6284,Legendary Duelists: Synchro Storm,LED8-EN029,Common,Necro Fleur,Monster,DARK,0,0,1.0,None,nan,Plant , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6285,Crossed Souls,CROS-EN070,Common,Dizzying Winds of Yosen Village,Trap,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Continuous-like,,,,,,,,, Unlimited 
6286,Magician's Force,MFC-041,Common,Huge Revolution,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6287,Gladiator's Assault,GLAS-EN052,Common,Cloudian Squall,Spell,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6288,Abyss Rising,ABYR-EN098,Secret Rare,Thunder Sea Horse,Monster,LIGHT,1600,1200,4.0,None,nan,Thunder , Effect,None,None,Ignition, Condition, Condition,,,,,,,, Unlimited 
6289,Lord of the Tachyon Galaxy,LTGY-EN070,Common,Memory Loss,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6290,Maximum Gold,MAGO-EN146,Rare,Temple of the Six,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
6291,Blazing Vortex,BLVO-EN043,Ultra Rare,Windwitch - Diamond Bell,Monster,WIND,2800,2400,8.0,None,nan,Spellcaster , Synchro , Effect,None,Trigger, Condition, Trigger, Condition,,,,,,, Unlimited 
6292,Pharaoh's Servant,PSV-057,Common,Bubonic Vermin,Monster,EARTH,900,600,3.0,None,nan,Beast , Effect,None,None,Flip,,,,,,,,,, Unlimited 
6293,Legacy of Darkness,LOD-054,Common,Robolady,Monster,EARTH,450,900,3.0,None,nan,Machine,None,None,None,nan,,,,,,,,,, Unlimited 
6294,Ancient Prophecy,ANPR-EN006,Common,Blackwing - Fane the Steel Chain,Monster,DARK,500,800,2.0,None,nan,Winged Beast , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6295,Storm of Ragnarok,STOR-EN067,Common,Solemn Authority,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Condition,,,,,,,,, Unlimited 
6296,The Shining Darkness,TSHD-EN071,Rare,Infernity Inferno,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6297,Rising Rampage,RIRA-EN011,Super Rare,Mayosenju Hitot,Monster,WIND,2000,3000,10.0,None,nan,Beast , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Trigger-like, Condition, Monster Effect, Summoning condition, Trigger, Trigger, Trigger,, Unlimited 
6298,Generation Force,GENF-EN073,Common,Treaty on Uniform Nomenclature,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6299,Eternity Code,ETCO-EN027,Super Rare,"Harr, Generaider Boss of Storms",Monster,DARK,3000,3000,9.0,None,nan,Spellcaster , Effect,None,None,Unclassified, Quick, Quick, Condition,,,,,,, Unlimited 
6300,The Shining Darkness,TSHD-EN033,Common,Ronintoadin,Monster,WATER,100,2000,2.0,None,nan,Aqua , Effect,None,None,Condition, Continuous, Ignition,,,,,,,, Unlimited 
6301,Pharaonic Guardian,PGD-037,Common,Secret Pass to the Treasures,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6302,Dawn of Majesty,DAMA-EN060,Secret Rare,Sacred Scrolls of the Gizmek Legend,Spell,nan,,None,,None,Field,nan,None,None,None,Ignition-like, Condition, Continuous-like, Continuous-like,,,,,,, Unlimited 
6303,Circuit Break,CIBR-EN010,Super Rare,Autorokket Dragon,Monster,DARK,1600,1000,3.0,None,nan,Dragon , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
6304,Galactic Overlord,GAOV-EN030,Common,Inzektor Earwig,Monster,DARK,1000,1000,4.0,None,nan,Insect , Effect,None,None,Ignition, Continuous, Trigger,,,,,,,, Unlimited 
6305,Legend of Blue Eyes White Dragon,LOB-006,Ultra Rare,Gaia The Fierce Knight,Monster,EARTH,2300,2100,7.0,None,nan,Warrior , Normal,None,None,nan,,,,,,,,,, Unlimited 
6306,Phantom Darkness,PTDN-EN093,Rare,Legendary Fiend,Monster,DARK,1500,1800,6.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6307,Generation Force,GENF-EN096,Secret Rare,Vision HERO Adoration,Monster,DARK,2800,2100,8.0,None,nan,Warrior , Fusion , Effect,None,Ignition,,,,,,,,,, Unlimited 
6308,Rising Rampage,RIRA-EN031,Common,Voltester,Monster,DARK,2500,1000,7.0,None,nan,Thunder , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
6309,Raging Battle,RGBT-EN000,Secret Rare,Battlestorm,Monster,DARK,1700,1000,4.0,None,nan,Winged Beast , Effect,None,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
6310,Ancient Sanctuary,AST-031,Common,Goblin King,Monster,DARK,0,0,1.0,None,nan,Fiend , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
6311,Duelist Revolution,DREV-EN049,Common,Scrap Sheen,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6312,Lightning Overdrive,LIOV-EN094,Super Rare,Staysailor Romarin,Monster,LIGHT,1600,300,4.0,None,nan,Plant , Tuner , Effect,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
6313,Legacy of Darkness,LOD-052,Common,Wolf Axwielder,Monster,EARTH,1650,1000,4.0,None,nan,Beast-Warrior,None,None,None,nan,,,,,,,,,, Unlimited 
6314,Stardust Overdrive,SOVR-EN044,Ultra Rare,Explosive Magician,Monster,LIGHT,2500,1800,6.0,None,nan,Spellcaster , Synchro , Effect,None,Ignition,,,,,,,,,, Unlimited 
6315,Crossroads of Chaos,CSOC-EN027,Common,Botanical Girl,Monster,WATER,1300,1100,3.0,None,nan,Plant , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6316,Chaos Impact,CHIM-EN095,Common,Astra Ghouls,Monster,EARTH,0,2000,5.0,None,nan,Zombie , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
6317,Chaos Impact,CHIM-EN025,Common,"Prometeor, the Burning Star",Monster,FIRE,2800,2000,8.0,None,nan,Machine , Effect,None,None,Condition, Trigger,,,,,,,,, Unlimited 
6318,Phantom Darkness,PTDN-EN065,Common,Sinister Seeds,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6319,Extreme Victory,EXVC-EN077,Common,Sealing Ceremony of Mokuton,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like,,,,,,,,,, Unlimited 
6320,Tactical Evolution,TAEV-EN009,Common,Chrysalis Pinny,Monster,LIGHT,100,700,2.0,None,nan,Plant , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6321,Ancient Sanctuary,AST-041,Common,Weapon Change,Spell,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6322,Burst of Destiny,BODE-EN032,Common,Geminize Lord Golknight,Monster,EARTH,1500,500,4.0,None,nan,Warrior , Gemini , Effect,None,Unclassified, Condition, Trigger, Condition, Continuous,,,,,, Unlimited 
6323,Maximum Crisis ,MACR-EN087,Rare,SPYRAL GEAR - Last Resort,Monster,EARTH,1000,1000,4.0,None,nan,Machine , Effect,None,None,Ignition, Continuous-like, Ignition-like,,,,,,,, Unlimited 
6324,Chaos Impact,CHIM-EN072,Common,Gladiator Naumachia,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Quick-like, Trigger-like,,,,,,,, Unlimited 
6325,Spell Ruler,MRL-059,Common,Magical Labyrinth,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Ignition-like,,,,,,,,, Unlimited 
6326,Duelist Revolution,DREV-EN052,Rare,Landoise's Luminous Moss,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6327,Lightning Overdrive,LIOV-EN062,Common,Bujincandescence,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Ignition-like, Trigger-like,,,,,,,, Unlimited 
6328,Raging Tempest,RATE-EN069,Common,Cipher Spectrum,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6329,Absolute Powerforce,ABPF-EN029,Common,Black Potan,Monster,DARK,200,100,1.0,None,nan,Fiend , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6330,Pharaoh's Servant,PSV-041,Common,Flame Champion,Monster,FIRE,1900,1300,5.0,None,nan,Pyro,None,None,None,nan,,,,,,,,,, Unlimited 
6331,Ancient Prophecy,ANPR-EN033,Common,White Potan,Monster,LIGHT,100,200,1.0,None,nan,Fairy , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
6332,Ignition Assault,IGAS-EN020,Ultra Rare,Sky Striker Ace - Roze,Monster,LIGHT,1500,1500,4.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
6333,Judgment of the Light,JOTL-EN084,Secret Rare,Noble Knight Drystan,Monster,LIGHT,1800,800,4.0,None,nan,Warrior , Effect,None,None,Continuous, Trigger, Condition,,,,,,,, Unlimited 
6334,The Shining Darkness,TSHD-EN015,Rare,Infernity Avenger,Monster,DARK,0,0,1.0,None,nan,Fiend , Tuner,None,None,Trigger,,,,,,,,,, Unlimited 
6335,Dawn of Majesty,DAMA-EN039,Secret Rare,Shooting Majestic Star Dragon,Monster,WIND,4000,3300,11.0,None,nan,Dragon , Synchro , Effect,None,Summoning condition, Ignition, Continuous, Quick,,,,,,, Unlimited 
6336,Flames of Destruction,FLOD-EN097,Common,Madolche Fresh Sistart,Monster,EARTH,1500,None,,2,nan,Fairy , Link , Effect,None,Continuous, Continuous,,,,,,,,, Unlimited 
6337,The Duelist Genesis,TDGS-EN051,Common,Psi-Station,Spell,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6338,Maximum Gold,MAGO-EN028,Premium Gold Rare,Herald of the Arc Light,Monster,LIGHT,600,1000,4.0,None,nan,Fairy , Synchro , Effect,None,Continuous, Quick, Trigger,,,,,,,, Unlimited 
6339,Invasion of Chaos,IOC-070,Rare,Enraged Battle Ox,Monster,EARTH,1700,1000,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
6340,Duelist Alliance,DUEA-EN015,Common,Sonata the Melodious Diva,Monster,LIGHT,1200,1000,3.0,None,nan,Fairy , Effect,None,None,Unclassified, Continuous,,,,,,,,, Unlimited 
6341,Absolute Powerforce,ABPF-EN096,Secret Rare,Underground Arachnid,Monster,EARTH,2400,1200,6.0,None,nan,Insect , Synchro , Effect,None,Continuous, Ignition, Continuous,,,,,,,, Unlimited 
6342,Burst of Destiny,BODE-EN075,Super Rare,Floowandereeze and the Scary Sea,Trap,nan,,None,,None,Counter,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
6343,Light of Destruction,LODT-EN065,Common,Rainbow Gravity,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6344,Code of the Duelist,COTD-EN026,Secret Rare,"Lumina, Twilightsworn Shaman",Monster,DARK,1000,1000,3.0,None,nan,Spellcaster , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
6345,Maximum Gold,MAGO-EN093,Rare,The Prime Monarch,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Quick-like, Condition,,,,,,,, Unlimited 
6346,Circuit Break,CIBR-EN093,Common,Amazoness Spy,Monster,EARTH,800,1200,3.0,None,nan,Warrior , Effect,None,None,Ignition, Condition, Trigger,,,,,,,, Unlimited 
6347,Invasion: Vengeance,INOV-EN011,Common,Cipher Mirror Knight,Monster,LIGHT,0,0,4.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
6348,Invasion: Vengeance,INOV-EN050,Super Rare,Vola-Chemicritter Methydraco,Monster,FIRE,3000,3000,8.0,None,nan,Beast-Warrior , Xyz , Effect,None,Trigger, Continuous, Trigger,,,,,,,, Unlimited 
6349,Dark Crisis,DCR-086,Rare,Contract with the Abyss,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6350,Cybernetic Revolution,CRV-EN012,Rare,Wroughtweiler,Monster,EARTH,800,1200,3.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6351,Labyrinth of Nightmare,LON-089,Rare,"Spirit Message ""I""",Spell,nan,,None,,None,Continuous,nan,None,None,None,Condition,,,,,,,,,, Unlimited 
6352,Code of the Duelist,COTD-EN008,Ultra Rare,Trickstar Candina,Monster,LIGHT,1800,400,4.0,None,nan,Fairy , Effect,None,None,Trigger, Continuous,,,,,,,,, Unlimited 
6353,Code of the Duelist,COTD-EN046,Secret Rare,Topologic Bomber Dragon,Monster,DARK,3000,None,,4,nan,Cyberse , Link , Effect,None,Trigger, Trigger,,,,,,,,, Unlimited 
6354,Cosmo Blazer,CBLZ-EN058,Common,Fire Formation - Tensu,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
6355,Judgment of the Light,JOTL-EN029,Rare,Archfiend Heiress,Monster,DARK,1000,0,3.0,None,nan,Fiend , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
6356,Clash of Rebellions,CORE-EN092,Ultra Rare,Absorb Fusion,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition, Condition,,,,,,,, Unlimited 
6357,Raging Tempest,RATE-EN055,Common,Machine Angel Absolute Ritual,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6358,Crimson Crisis,CRMS-EN089,Rare,Synchro Change,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6359,Gladiator's Assault,GLAS-EN076,Rare,Cell Explosion Virus,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6360,Crossroads of Chaos,CSOC-EN074,Rare,Pollinosis,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
6361,Raging Battle,RGBT-EN083,Secret Rare,Hardened Armed Dragon,Monster,EARTH,1500,800,4.0,None,nan,Dragon , Effect,None,None,Condition, Unclassified, Unclassified,,,,,,,, Unlimited 
6362,Rise of the Duelist,ROTD-EN034,Common,Red Potan,Monster,FIRE,100,200,1.0,None,nan,Fairy , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
6363,Flames of Destruction,FLOD-EN098,Super Rare,Rainbow Refraction,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
6364,Circuit Break,CIBR-EN092,Common,Lyrilusc - Recital Starling,Monster,WIND,0,0,1.0,None,nan,Winged Beast , Xyz , Effect,None,Trigger, Ignition, Continuous,,,,,,,, Limited 
6365,The New Challengers,NECH-EN005,Common,Serenade the Melodious Diva,Monster,LIGHT,400,1900,4.0,None,nan,Fairy , Effect,None,None,Unclassified, Unclassified,,,,,,,,, Unlimited 
6366,Power of the Duelist,POTD-EN033,Ultra Rare,Elemental HERO Dark Neos,Monster,DARK,2500,2000,7.0,None,nan,Warrior , Fusion , Effect,None,Summoning condition, Ignition, Trigger,,,,,,,, Unlimited 
6367,Dimension Force,DIFO-EN002,Super Rare,Performapal Ladyange,Monster,LIGHT,1000,1500,3.0,None,nan,Fairy , Pendulum , Effect,None,Pendulum Effect , Trigger-like, Monster Effect, Ignition, Ignition, Condition,,,,, Unlimited 
6368,Duelist Alliance,DUEA-EN002,Super Rare,Foucault's Cannon,Monster,DARK,2200,1200,5.0,None,nan,Spellcaster , Pendulum , Normal,None,Pendulum Effect , Trigger-like,,,,,,,,, Unlimited 
6369,Stardust Overdrive,SOVR-EN091,Rare,Shine Palace,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like,,,,,,,,, Unlimited 
6370,Phantom Darkness,PTDN-EN080,Short Print,Fine,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6371,Labyrinth of Nightmare,LON-057,Common,Boneheimer,Monster,WATER,850,400,3.0,None,nan,Aqua,None,None,None,nan,,,,,,,,,, Unlimited 
6372,Dark Crisis,DCR-079,Common,Zolga,Monster,EARTH,1700,1200,4.0,None,nan,Fairy , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6373,Dimension of Chaos,DOCS-EN069,Common,Dark Contract with Errors,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Quick-like,,,,,,,,, Unlimited 
6374,Maximum Crisis ,MACR-EN074,Common,Phantasm Spiral Assault,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition, Unclassified,,,,,,,, Unlimited 
6375,Secrets of Eternity,SECE-EN033,Rare,Koa'ki Meiru Overload,Monster,EARTH,1900,1200,4.0,None,nan,Rock , Effect,None,None,Maintenance cost, Quick,,,,,,,,, Unlimited 
6376,Abyss Rising,ABYR-EN085,Secret Rare,Giant Soldier of Steel,Monster,EARTH,1300,2000,3.0,None,nan,Rock , Xyz , Effect,None,Continuous, Quick,,,,,,,,, Unlimited 
6377,Dawn of Majesty,DAMA-EN069,Common,Margin Trading,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
6378,Magician's Force,MFC-066,Rare,Apprentice Magician,Monster,DARK,400,800,2.0,None,nan,Spellcaster , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
6379,Stardust Overdrive,SOVR-EN098,Secret Rare,Clear Vice Dragon,Monster,DARK,?,0,8.0,None,nan,Dragon , Effect,None,None,Continuous, Continuous, Continuous,,,,,,,, Unlimited 
6380,Enemy of Justice,EOJ-EN047,Common,Dimensional Fissure,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Limited 
6381,Extreme Force,EXFO-EN017,Rare,Mekk-Knight Yellow Star,Monster,LIGHT,2200,2800,7.0,None,nan,Psychic , Effect,None,None,Unclassified, Condition, Ignition,,,,,,,, Unlimited 
6382,Spell Ruler,MRL-101,Common,Mystic Plasma Zone,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
6383,Breakers of Shadow,BOSH-EN049,Rare,Hi-Speedroid Hagoita,Monster,WIND,2000,1000,5.0,None,nan,Machine , Synchro , Effect,None,Quick, Ignition, Condition,,,,,,,, Unlimited 
6384,Labyrinth of Nightmare,LON-019,Super Rare,Mask of the Accursed,Spell,nan,,None,,None,Equip,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
6385,Dimension Force,DIFO-EN039,Ultra Rare,Red-Eyes Zombie Dragon Lord,Monster,DARK,2800,2400,10.0,None,nan,Zombie , Synchro , Effect,None,Quick, Ignition, Condition,,,,,,,, Unlimited 
6386,Rising Rampage,RIRA-EN022,Super Rare,Simorgh of Darkness,Monster,DARK,2900,2000,8.0,None,nan,Winged Beast , Effect,None,None,Continuous, Condition, Trigger, Quick,,,,,,, Unlimited 
6387,Circuit Break,CIBR-EN045,Ultra Rare,Gouki Thunder Ogre,Monster,EARTH,2200,None,,3,nan,Warrior , Link , Effect,None,Trigger, Continuous,,,,,,,,, Unlimited 
6388,The Lost Millennium,TLM-EN002,Common,Elemental HERO Burstinatrix,Monster,FIRE,1200,800,3.0,None,nan,Warrior , Normal,None,None,nan,,,,,,,,,, Unlimited 
6389,Tactical Evolution,TAEV-EN036,Common,Razor Lizard,Monster,EARTH,1500,300,3.0,None,nan,Reptile , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
6390,Absolute Powerforce,ABPF-EN092,Rare,Chimera the Flying Mythical Beast,Monster,WIND,2100,1800,6.0,None,nan,Beast , Fusion , Effect,None,Condition, Trigger,,,,,,,,, Unlimited 
6391,Stardust Overdrive,SOVR-EN090,Rare,Dark Rabbit,Monster,DARK,1100,1500,4.0,None,nan,Beast , Normal,None,None,nan,,,,,,,,,, Unlimited 
6392,Shining Victories,SHVI-EN007,Rare,Speedroid Pachingo-Kart,Monster,WIND,1800,1000,4.0,None,nan,Machine , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
6393,Extreme Force,EXFO-EN012,Common,Tindangle Protector,Monster,DARK,800,1600,3.0,None,nan,Fiend , Flip , Effect,None,Flip, Condition,,,,,,,,, Unlimited 
6394,Ghosts From the Past: The 2nd Haunting,GFP2-EN045,Ultra Rare,Chronicle Magician,Monster,DARK,2500,2500,7.0,None,nan,Spellcaster , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
6395,Abyss Rising,ABYR-EN048,Ultra Rare,Madolche Queen Tiaramisu,Monster,EARTH,2200,2100,4.0,None,nan,Fairy , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
6396,Photon Shockwave,PHSW-EN048,Common,Cross Attack,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
6397,Lightning Overdrive,LIOV-EN005,Common,Springans Brothers,Monster,FIRE,300,1800,4.0,None,nan,Machine , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
6398,Shining Victories,SHVI-EN015,Common,Raidraptor - Pain Lanius,Monster,DARK,100,100,1.0,None,nan,Winged Beast , Effect,None,None,Condition, Ignition, Condition,,,,,,,, Unlimited 
6399,Legend of Blue Eyes White Dragon,LOB-098,Super Short Print,Follow Wind,Spell,nan,,None,,None,Equip,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
6400,Raging Tempest,RATE-EN003,Ultra Rare,Performapal Dag Daggerman,Monster,EARTH,2000,600,5.0,None,nan,Warrior , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Ignition, Condition,,,,, Unlimited 
6401,Power of the Duelist,POTD-EN054,Common,Royal Writ of Taxation,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Lingering,,,,,,,, Unlimited 
6402,Dark Crisis,DCR-083,Common,Spell Reproduction,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
6403,Crimson Crisis,CRMS-EN082,Secret Rare,Prime Material Falcon,Monster,WIND,2200,800,5.0,None,nan,Winged Beast , Effect,None,None,Quick,,,,,,,,,, Unlimited 
6404,Abyss Rising,ABYR-EN005,Common,Grandram,Monster,EARTH,0,1400,4.0,None,nan,Rock , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
6405,Eternity Code,ETCO-EN077,Super Rare,Witchcrafter Patronus,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Quick-like, Condition,,,,,,,, Unlimited 
6406,Dark Neostorm,DANE-EN038,Ultra Rare,"Dingirsu, the Orcust of the Evening Star",Monster,DARK,2600,2100,8.0,None,nan,Machine , Xyz , Effect,None,Summoning condition, Summoning condition, Continuous, Trigger,,,,,,, Unlimited 
6407,Return of the Duelist,REDU-EN040,Short Print,Goblin Marauding Squad,Monster,EARTH,1900,0,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
6408,The Lost Millennium,TLM-EN052,Rare,Kozaky's Self-Destruct Button,Trap,nan,,None,,None,Normal,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
6409,Blazing Vortex,BLVO-EN044,Super Rare,Fabled Andwraith,Monster,LIGHT,2400,1900,6.0,None,nan,Fiend , Synchro , Effect,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
